Source	Revision	Code	Name
mca	202112	231081	绥芬河市
mca	202112	231083	海林市
mca	202112	231084	宁安市
mca	202112	231085	穆棱市
mca	202112	231086	东宁市
mca	202112	231100	黑河市
mca	202112	231102	爱辉区
mca	202112	231123	逊克县
mca	202112	231124	孙吴县
mca	202112	231181	北安市
mca	202112	231182	五大连池市
mca	202112	231183	嫩江市
mca	202112	231200	绥化市
mca	202112	231202	北林区
mca	202112	231221	望奎县
mca	202112	231222	兰西县
mca	202112	231223	青冈县
mca	202112	231224	庆安县
mca	202112	231225	明水县
mca	202112	231226	绥棱县
mca	202112	231281	安达市
mca	202112	231282	肇东市
mca	202112	231283	海伦市
mca	202112	232700	大兴安岭地区
mca	202112	232701	漠河市
mca	202112	232721	呼玛县
mca	202112	232722	塔河县
mca	202112	310000	上海市
mca	202112	310101	黄浦区
mca	202112	310104	徐汇区
mca	202112	310105	长宁区
mca	202112	310106	静安区
mca	202112	310107	普陀区
mca	202112	310109	虹口区
mca	202112	310110	杨浦区
mca	202112	310112	闵行区
mca	202112	310113	宝山区
mca	202112	310114	嘉定区
mca	202112	310115	浦东新区
mca	202112	310116	金山区
mca	202112	310117	松江区
mca	202112	310118	青浦区
mca	202112	310120	奉贤区
mca	202112	310151	崇明区
mca	202112	320000	江苏省
mca	202112	320100	南京市
mca	202112	320102	玄武区
mca	202112	320104	秦淮区
mca	202112	320105	建邺区
mca	202112	320106	鼓楼区
mca	202112	320111	浦口区
mca	202112	320113	栖霞区
mca	202112	320114	雨花台区
mca	202112	320115	江宁区
mca	202112	320116	六合区
mca	202112	320117	溧水区
mca	202112	320118	高淳区
mca	202112	320200	无锡市
mca	202112	320205	锡山区
mca	202112	320206	惠山区
mca	202112	320211	滨湖区
mca	202112	320213	梁溪区
mca	202112	320214	新吴区
mca	202112	320281	江阴市
mca	202112	320282	宜兴市
mca	202112	320300	徐州市
mca	202112	320302	鼓楼区
mca	202112	320303	云龙区
mca	202112	320305	贾汪区
mca	202112	320311	泉山区
mca	202112	320312	铜山区
mca	202112	320321	丰县
mca	202112	320322	沛县
mca	202112	320324	睢宁县
mca	202112	320381	新沂市
mca	202112	320382	邳州市
mca	202112	320400	常州市
mca	202112	320402	天宁区
mca	202112	320404	钟楼区
mca	202112	320411	新北区
mca	202112	320412	武进区
mca	202112	320413	金坛区
mca	202112	320481	溧阳市
mca	202112	320500	苏州市
mca	202112	320505	虎丘区
mca	202112	320506	吴中区
mca	202112	320507	相城区
mca	202112	320508	姑苏区
mca	202112	320509	吴江区
mca	202112	320581	常熟市
mca	202112	320582	张家港市
mca	202112	320583	昆山市
mca	202112	320585	太仓市
mca	202112	320600	南通市
mca	202112	320612	通州区
mca	202112	320613	崇川区
mca	202112	320614	海门区
mca	202112	320623	如东县
mca	202112	320681	启东市
mca	202112	320682	如皋市
mca	202112	320685	海安市
mca	202112	320700	连云港市
mca	202112	320703	连云区
mca	202112	320706	海州区
mca	202112	320707	赣榆区
mca	202112	320722	东海县
mca	202112	320723	灌云县
mca	202112	320724	灌南县
mca	202112	320800	淮安市
mca	202112	320803	淮安区
mca	202112	320804	淮阴区
mca	202112	320812	清江浦区
mca	202112	320813	洪泽区
mca	202112	320826	涟水县
mca	202112	320830	盱眙县
mca	202112	320831	金湖县
mca	202112	320900	盐城市
mca	202112	320902	亭湖区
mca	202112	320903	盐都区
mca	202112	320904	大丰区
mca	202112	320921	响水县
mca	202112	320922	滨海县
mca	202112	320923	阜宁县
mca	202112	320924	射阳县
mca	202112	320925	建湖县
mca	202112	320981	东台市
mca	202112	321000	扬州市
mca	202112	321002	广陵区
mca	202112	321003	邗江区
mca	202112	321012	江都区
mca	202112	321023	宝应县
mca	202112	321081	仪征市
mca	202112	321084	高邮市
mca	202112	321100	镇江市
mca	202112	321102	京口区
mca	202112	321111	润州区
mca	202112	321112	丹徒区
mca	202112	321181	丹阳市
mca	202112	321182	扬中市
mca	202112	321183	句容市
mca	202112	321200	泰州市
mca	202112	321202	海陵区
mca	202112	321203	高港区
mca	202112	321204	姜堰区
mca	202112	321281	兴化市
mca	202112	321282	靖江市
mca	202112	321283	泰兴市
mca	202112	321300	宿迁市
mca	202112	321302	宿城区
mca	202112	321311	宿豫区
mca	202112	321322	沭阳县
mca	202112	321323	泗阳县
mca	202112	321324	泗洪县
mca	202112	330000	浙江省
mca	202112	330100	杭州市
mca	202112	330102	上城区
mca	202112	330105	拱墅区
mca	202112	330106	西湖区
mca	202112	330108	滨江区
mca	202112	330109	萧山区
mca	202112	330110	余杭区
mca	202112	330111	富阳区
mca	202112	330112	临安区
mca	202112	330113	临平区
mca	202112	330114	钱塘区
mca	202112	330122	桐庐县
mca	202112	330127	淳安县
mca	202112	330182	建德市
mca	202112	330200	宁波市
mca	202112	330203	海曙区
mca	202112	330205	江北区
mca	202112	330206	北仑区
mca	202112	330211	镇海区
mca	202112	330212	鄞州区
mca	202112	330213	奉化区
mca	202112	330225	象山县
mca	202112	330226	宁海县
mca	202112	330281	余姚市
mca	202112	330282	慈溪市
mca	202112	330300	温州市
mca	202112	330302	鹿城区
mca	202112	330303	龙湾区
mca	202112	330304	瓯海区
mca	202112	330305	洞头区
mca	202112	330324	永嘉县
mca	202112	330326	平阳县
mca	202112	330327	苍南县
mca	202112	330328	文成县
mca	202112	330329	泰顺县
mca	202112	330381	瑞安市
mca	202112	330382	乐清市
mca	202112	330383	龙港市
mca	202112	330400	嘉兴市
mca	202112	330402	南湖区
mca	202112	330411	秀洲区
mca	202112	330421	嘉善县
mca	202112	330424	海盐县
mca	202112	330481	海宁市
mca	202112	330482	平湖市
mca	202112	330483	桐乡市
mca	202112	330500	湖州市
mca	202112	330502	吴兴区
mca	202112	330503	南浔区
mca	202112	330521	德清县
mca	202112	330522	长兴县
mca	202112	330523	安吉县
mca	202112	330600	绍兴市
mca	202112	330602	越城区
mca	202112	330603	柯桥区
mca	202112	330604	上虞区
mca	202112	330624	新昌县
mca	202112	330681	诸暨市
mca	202112	330683	嵊州市
mca	202112	330700	金华市
mca	202112	330702	婺城区
